regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,501  Nürnberg-Nord,502  Nürnberg-Ost,503  Nürnberg-Süd,504  Nürnberg-West,505  Ansbach-Nord,"506  Ansbach-Süd, Weißenburg-Gunzenhausen",507  Erlangen-Höchstadt,508  Erlangen-Stadt,509  Fürth,"510  Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",511  Nürnberger Land,512  Roth
905,11,Die Freiheit,8,"Weiner, Ernst",3,,3133,971,35,62,69,62,2162*,134,65,58,88,233,89,76
905,11,Die Freiheit,9,"BoschArmbrüster, Hedwig",7,,2462,571,11,28,35,32,270,1891*,25,16,39,48,20,47
905,11,Die Freiheit,10,"Schröder, Jürgen",10,,2080,396,8,15,14,28,58,27,1684*,77,30,99,26,14
905,11,Die Freiheit,11,"Burkert, Tobias",4,,2977,1013,98,122,1964*,247,91,57,46,59,86,76,87,44
905,11,Die Freiheit,12,"Gattenlöhner, Elke",12,,997,997,30,44,65,34,66,70,27,25,39,56,42,499
905,11,Die Freiheit,13,"Raber, Regina",14,,764,764,27,25,42,20,35,17,48,19,123,354,34,20
905,11,Die Freiheit,14,"WinterKretschmar, Brigitte",16,,560,560,40,61,82,81,27,36,29,26,83,30,41,24
905,11,Die Freiheit,15,"Bartlitz, David",13,,950,950,98,108,129,135,58,50,60,53,90,53,86,30
905,11,Die Freiheit,16,"Winter, Fritz",18,,247,247,18,25,42,45,11,10,10,8,29,16,25,8
905,11,Die Freiheit,17,"Bein, Martin",15,,605,605,15,22,29,23,25,13,23,23,330,67,19,16
905,11,Die Freiheit,18,"Gsänger, Franz",17,,495,495,12,18,52,22,22,61,8,8,25,33,19,215
905,11,Die Freiheit,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,181,181,20,17,9,10,10,24,9,10,16,13,21,22
905,11,Die Freiheit,,Erststimmen insgesamt,,,19327,,,1724,1964,1325,2162,1891,1684,1036,1809,1963,2061,1708
905,11,Die Freiheit,,Zweitstimmen insgesamt,,,17535,17535,1094,1392,1560,1391,1693,1348,1305,870,1779,1933,1595,1575
905,11,Die Freiheit,,Gesamtstimmen,,,36862,17535,1094,3116,3524,2716,3855,3239,2989,1906,3588,3896,3656,3283
905,12,Piraten,1,"Kotzian, Emanuel",1,,6917,4884,2033*,605,366,545,375,351,365,426,641,428,412,370
905,12,Piraten,2,"Grandrath, Christina",2,,3550,1853,758,1697*,94,158,75,78,81,166,179,104,98,62
905,12,Piraten,3,"Kegel, Dominik",4,,2520,1278,123,119,123,106,103,215,63,82,128,111,105,1242*
905,12,Piraten,4,"Semm, Astrid",6,,2055,567,58,66,31,41,31,34,116,1488*,62,57,42,29
905,12,Piraten,5,"Kubisch, Christian",12,,1662,299,45,58,33,15,28,10,16,18,28,22,1363*,26
905,12,Piraten,6,"Stiefel, Karoline",13,,1508,1508,126,109,73,88,88,88,134,256,169,124,111,142
905,12,Piraten,7,"Vogel, Hilmar",3,,3337,810,97,80,65,87,40,52,54,78,2527*,166,40,51
905,12,Piraten,8,"Möhrlein, Dieter",8,,1978,461,68,66,37,1517*,31,34,24,42,65,31,35,28
905,12,Piraten,9,"Beck, David",14,,983,983,146,110,81,116,57,69,61,54,86,77,66,60
905,12,Piraten,10,"Betz, Florian",10,,1744,463,56,43,1281*,69,28,29,31,23,57,47,38,42
905,12,Piraten,11,"Bocklage, Henning",23,,184,184,35,18,15,22,10,7,8,15,23,15,12,4
905,12,Piraten,12,"Beß, Frank",21,,310,310,38,30,38,34,24,26,10,19,39,18,17,17
905,12,Piraten,13,"Rosenberg, Raphael",7,,1980,527,43,30,24,33,32,16,17,33,268,1453*,19,12
905,12,Piraten,14,"Michelson, Moritz",19,,371,371,34,26,9,15,21,23,43,101,33,19,20,27
905,12,Piraten,15,"Dörflein, Oliver",17,,509,509,64,38,57,50,50,48,19,20,49,39,43,32
905,12,Piraten,16,"Winter, Susanne",15,,591,591,97,78,36,63,40,38,31,43,51,41,41,32
905,12,Piraten,17,"Heidingsfelder, Martin",22,,227,227,41,25,15,29,22,14,11,22,19,14,8,7
905,12,Piraten,18,"Karch, Martin",20,,318,318,42,33,31,58,18,11,18,24,26,22,15,20
905,12,Piraten,19,"Schüller, Siegfried",24,,120,120,15,14,11,20,6,5,7,4,6,6,8,18
905,12,Piraten,20,"Dietert, Dr. Tilko",5,,2507,857,86,71,46,63,151,1650*,53,92,86,79,45,85
905,12,Piraten,21,"Wunschik, Alexander",16,,581,581,53,37,24,30,32,26,22,42,204,61,30,20
905,12,Piraten,22,"Windisch, Matthias",18,,377,377,17,37,24,17,20,21,23,13,25,18,48,114
905,12,Piraten,23,"Rudert, Tobias",9,,1784,427,20,14,13,17,1357*,218,17,21,16,61,14,16
905,12,Piraten,24,"Herrmann, Markus",11,,1706,344,30,31,23,25,25,33,1362*,30,30,21,74,22
905,12,Piraten,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,184,184,13,25,14,11,10,12,9,17,14,32,13,14
905,12,Piraten,,Erststimmen insgesamt,,,18970,,2033,1697,1281,1517,1357,1650,1362,1488,2527,1453,1363,1242
