regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,101  München-Hadern,102  München-Bogenhausen,103  München-Giesing,104  München-Milbertshofen,105  München-Moosach,106  München-Pasing,107  München-Ramersdorf,108  München-Schwabing,109  München-Mitte,110  Altötting,"111  Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",112  Berchtesgadener Land,113  Dachau,114  Ebersberg,115  Eichstätt,116  Erding,117  Freising,118  Fürstenfeldbruck-Ost,119  Ingolstadt,"120  Landsberg am Lech, Fürstenfeldbruck-West",121  Miesbach,122  Mühldorf a.Inn,123  München-Land-Nord,124  München-Land-Süd,125  Neuburg-Schrobenhausen,126  Pfaffenhofen a.d.Ilm,127  Rosenheim-Ost,128  Rosenheim-West,129  Starnberg,130  Traunstein,131  Weilheim-Schongau
901,6,Die Linke,29,"de la Motte Rouge, Werner",48,29,,1.497,160,6,10,14,13,6,1,6,3,12,4,4,4,5,2,3,4,7,3,12,4,1,2,5,2,7,1.337*,3,4,6,2,5
901,6,Die Linke,30,"Borchert, Lisa",24,30,,1.438,1.438,92,44,97,85,59,66,57,63,90,19,46,20,25,32,16,46,55,71,40,54,27,26,56,47,11,18,41,22,31,33,49
901,6,Die Linke,31,"Nava, Gabriele",11,31,,1.432,256,5,3,13,6,8,4,8,4,9,1,8,1,3,0,21,7,8,5,89,3,4,1,7,2,1.176*,12,3,6,3,3,9
901,6,Die Linke,32,"Hager, Jörg",45,32,,1.429,107,0,1,3,1,2,2,2,1,5,0,28,1,6,4,1,1,2,5,3,5,1.322*,1,2,4,2,2,7,7,0,4,5
901,6,Die Linke,33,"Hackl, Philipp",46,33,,1.426,155,1,0,0,2,0,1,1,1,1,120,1,2,1,1,1,0,1,0,1,2,1,1.271*,1,1,0,0,2,2,0,11,0
901,6,Die Linke,34,"Mayr, Maria",30,34,,1.123,1.123,22,21,42,49,41,72,26,22,41,20,28,21,25,23,16,19,20,80,35,225,17,15,22,19,12,14,25,35,27,28,61
901,6,Die Linke,35,"Schreiber, Eva",21,35,,899,899,33,33,78,89,31,30,38,33,81,14,26,9,16,16,14,14,25,28,28,30,16,12,36,35,2,16,29,26,19,16,26
901,6,Die Linke,36,"Weidner, Monika",55,36,,783,783,35,24,40,40,28,40,20,23,34,11,23,13,21,27,14,30,37,23,27,30,21,16,36,23,8,13,19,36,16,16,39
901,6,Die Linke,37,"Fingert, Annemarie",9,37,,776,776,32,31,72,60,39,44,39,26,60,9,20,8,21,16,15,18,37,20,18,14,10,13,37,26,7,8,8,17,18,13,20
901,6,Die Linke,38,"Enderlein, Ellen",19,38,,761,761,50,31,45,35,44,40,36,23,26,9,21,18,31,16,11,10,25,34,19,22,11,12,25,20,13,10,12,21,18,32,41
